URN,School level progress 8 score
137582,-0.07
137869,-0.07
138116,-0.07
138435,-0.07
138622,-0.07
138632,-0.07
139248,-0.07
139534,-0.07
134223,-0.08
135580,-0.08
136105,-0.08
136465,-0.08
136525,-0.08
136576,-0.08
136607,-0.08
136645,-0.08
136763,-0.08
137124,-0.08
137145,-0.08
137367,-0.08
137941,-0.08
138511,-0.08
138614,-0.08
138948,-0.08
139074,-0.08
139271,-0.08
131065,-0.09
135876,-0.09
136300,-0.09
136727,-0.09
137248,-0.09
137356,-0.09
137421,-0.09
137458,-0.09
137532,-0.09
137538,-0.09
137763,-0.09
137931,-0.09
138696,-0.09
138852,-0.09
139181,-0.09
139276,-0.09
139455,-0.09
139501,-0.09
139542,-0.09
135630,-0.1
135942,-0.1
136127,-0.1
136187,-0.1
136281,-0.1
136558,-0.1
136605,-0.1
136646,-0.1
137521,-0.1
137878,-0.1
137936,-0.1
138221,-0.1
138326,-0.1
138623,-0.1
139067,-0.1
139304,-0.1
139486,-0.1
135365,-0.11
135661,-0.11
136683,-0.11
137013,-0.11
137111,-0.11
137280,-0.11
137409,-0.11
137420,-0.11
137536,-0.11
137656,-0.11
137702,-0.11
137707,-0.11
137830,-0.11
137847,-0.11
138042,-0.11
138235,-0.11
139139,-0.11
139786,-0.11
139988,-0.11
136147,-0.12
136764,-0.12
136785,-0.12
136903,-0.12
136958,-0.12
137080,-0.12
137093,-0.12
137146,-0.12
137236,-0.12
137472,-0.12
137907,-0.12
138472,-0.12
139118,-0.12
135770,-0.13
135864,-0.13
136612,-0.13
136626,-0.13
136652,-0.13
136969,-0.13
137176,-0.13
137361,-0.13
137382,-0.13
137832,-0.13
137911,-0.13
138114,-0.13
138150,-0.13
138236,-0.13
138647,-0.13
138832,-0.13
139152,-0.13
135297,-0.14
136301,-0.14
136406,-0.14
136875,-0.14
137305,-0.14
137461,-0.14
137638,-0.14
138103,-0.14
138124,-0.14
138936,-0.14
139335,-0.14
139867,-0.14
135905,-0.15
136139,-0.15
136213,-0.15
136302,-0.15
136638,-0.15
136779,-0.15
137087,-0.15
137440,-0.15
138342,-0.15
139180,-0.15
139367,-0.15
139878,-0.15
135980,-0.16
136467,-0.16
136909,-0.16
137252,-0.16
137252,-0.16
137265,-0.16
137637,-0.16
138046,-0.16
138759,-0.16
138859,-0.16
138920,-0.16
139629,-0.16
139840,-0.16
136157,-0.17
137072,-0.17
138925,-0.17
139048,-0.17
139623,-0.17
135367,-0.18
