URN,LA (name),LA (code),EstablishmentNumber,EstablishmentName,TypeOfEstablishment (name),EstablishmentStatus (name),OpenDate,CloseDate,PhaseOfEducation (name),StatutoryLowAge,StatutoryHighAge,Boarders (name),NurseryProvision (name),OfficialSixthForm (name),Gender (name),ReligiousCharacter (name),ReligiousEthos (name),Diocese (name),AdmissionsPolicy (name),TrustSchoolFlag (name),Trusts (name),SchoolSponsorFlag (name),SchoolSponsors (name),FederationFlag (name),Federations (name),UKPRN,FurtherEducationType (name),Street,Locality,Address3,Town,County (name),Postcode,SchoolWebsite,TelephoneNum,HeadTitle (name),HeadFirstName,HeadLastName,Rand
137678,Kingston upon Thames,314,5404,The Hollyfield School and Sixth Form Centre,Academy converter,Open,01/12/2011,,Secondary,11,18,No boarders,Not applicable,Has a sixth form,Mixed,None,Does not apply,Not applicable,Modern (secondary),Supported by a multi-academy trust,REAch2 Academy Trust,-,,Not applicable,,10035697,Not applicable,Surbiton Hill Road,,,Surbiton,Surrey,KT6 4TU,http://www.hollyfield.kingston.sch.uk/,2083394500,Mr,Tom,Maltby,93
139951,Surrey,936,2019,Pyrcroft Grange Primary School,Academy sponsor led,Open,01/12/2013,,Primary,4,11,No boarders,No Nursery Classes,Does not have a sixth form,Mixed,Does not apply,None,Not applicable,Non-selective,Supported by a multi-academy trust,REAch2 Academy Trust,Linked to a sponsor,Bourne Education Trust,Not applicable,,10042693,Not applicable,Pyrcroft Road,,,Chertsey,Surrey,KT16 9EW,www.pyrcroftgrange.surrey.sch.uk,1932564094,Mrs,Susan,Nardoni,26
142086,Wolverhampton,336,7000,Northern House School (City of Wolverhampton),Academy special sponsor led,Open,01/01/2016,,Not applicable,7,16,No boarders,No Nursery Classes,Does not have a sixth form,Mixed,Does not apply,None,Not applicable,Not applicable,Supported by a multi-academy trust,REAch2 Academy Trust,Linked to a sponsor,Northern House School Academy Trust,Not applicable,,10052509,Not applicable,Valley Park Campus,Cromer Gardens,,Wolverhampton,West Midlands,WV6 0UB,http://northernhousewolverhampton.schooljotter2.com/,1902551564,Mrs,Tina,Whitehouse,60
145351,Hertfordshire,919,2156,Meryfield Primary School,Academy converter,Open,01/01/2018,,Primary,3,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Supported by a multi-academy trust,REAch2 Academy Trust,Linked to a sponsor,Herts for Learning Multi Academy Trust,Not applicable,,10066385,Not applicable,Theobald Street,,,Borehamwood,Hertfordshire,WD6 4PA,www.meryfield.herts.sch.uk,2089532106,Mrs,Alexandra,Gage,78
136479,Lincolnshire,925,4017,Charles Read Academy,Academy converter,Open,01/02/2011,,Secondary,11,16,No boarders,Not applicable,Does not have a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Modern (secondary),Supported by a multi-academy trust,REAch2 Academy Trust,Linked to a sponsor,The David Ross Education Trust,Not applicable,,10032997,Not applicable,Bourne Road,Corby Glen,,Grantham,Lincolnshire,NG33 4NT,www.charlesreadacademy.co.uk,1476550333,Mr,Robert,Sloan,31
140463,Birmingham,330,3303,Holy Trinity CE Primary Academy (Handsworth),Academy converter,Open,01/12/2013,,Primary,3,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Church of England,Does not apply,Diocese of Birmingham,Not applicable,Supported by a single-academy trust,REAch2 Academy Trust,-,,Not applicable,,10044318,Not applicable,Havelock Road,Handsworth,,Birmingham,West Midlands,B20 3LP,http://www.htcepa.bham.sch.uk,1214649900,Mrs,Paula,Burns,55
145173,Bradford,380,4061,Appleton Academy,Academy sponsor led,Open,01/09/2017,,All through,3,19,,Not applicable,Has a sixth form,Mixed,None,None,,,Supported by a multi-academy trust,REAch2 Academy Trust,Linked to a sponsor,Exceed Academies Trust,Not applicable,,10065408,,Woodside Road,,,Bradford,West Yorkshire,BD12 8AL,,1274600550,Ms,Helen,Jones,22
139357,Kirklees,382,2124,Fieldhead Primary Academy,Academy converter,Open,01/03/2013,,Primary,3,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Supported by a multi-academy trust,Focus Academy Trust (UK) Ltd,-,,Not applicable,,10040641,Not applicable,Charlotte Close,Birstall,,Batley,West Yorkshire,WF17 9BX,www.fieldheadprimaryacademy.co.uk/,1924473016,Mrs,Victoria,Saville,15
145307,Norfolk,926,2190,Queensway Infant Academy and Nursery,Academy sponsor led,Open,01/12/2017,,Primary,3,7,No boarders,Not applicable,Does not have a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Supported by a multi-academy trust,Focus Academy Trust (UK) Ltd,Linked to a sponsor,Eastern Multi-Academy Trust,Not applicable,,10066043,,Queensway,,,Thetford,Norfolk,IP24 3DR,,1842753163,Mrs,Jayne,Wilding,26
136839,Somerset,933,4250,Ansford Academy,Academy converter,Open,01/07/2011,,Secondary,11,16,No boarders,Not applicable,Does not have a sixth form,Mixed,None,Does not apply,Not applicable,Comprehensive (secondary),Supported by a single-academy trust,Focus Academy Trust (UK) Ltd,-,,Not applicable,,10034101,Not applicable,Maggs Lane,,,Castle Cary,Somerset,BA7 7JJ,http://www.ansford.org.uk,1963350895,,Shonogh,Pilgrim,81
131752,Hammersmith and Fulham,205,6905,Ark Burlington Danes Academy,Academy sponsor led,Open,01/09/2006,,All through,3,18,No boarders,Has Nursery Classes,Has a sixth form,Mixed,Church of England,None,Diocese of London,Comprehensive (secondary),Supported by a multi-academy trust,Focus Academy Trust (UK) Ltd,Linked to a sponsor,ARK Schools,Not applicable,,10015175,Not applicable,Wood Lane,,,London,,W12 0HR,http://burlingtondanes.org/,2087354950,Mr,Michael,Ribton,10
142581,Warwickshire,937,2042,Stratford-Upon-Avon Primary School,Academy sponsor led,Open,01/03/2016,,Primary,4,11,No boarders,No Nursery Classes,Does not have a sixth form,Mixed,Does not apply,,Not applicable,Not applicable,Supported by a multi-academy trust,Focus Academy Trust (UK) Ltd,Linked to a sponsor,Community Academies Trust,Not applicable,,10055391,,Broad Street,,,Stratford-upon-Avon,Warwickshire,CV37 6HN,,1789293201,Mrs,Gillian,Humphriss,60
